aak;aok;aok-aoke-äökske 
afstemmen;aafstumme;aafstumme-stumde aaf-aafgestump 
aftroggelen;aafloekse;aafloekse-loeksde aaf-aafgeloeks 
afvaardigen;aafvaerdige;aafvaerdige-vaerdigde aaf-aafgevaerdig 
afwachting;aafwachting 
afwas;opwas 
afwassen;opwasse;opwasse-wasde op-opgewas / schóttele wasse 
afzadelen;aafzale;aafzale-zaalde aaf-aafgezaald 
afzeggen;kundige;kundige-kundigde-gekundig 
akelig;akelik;akelik-akeliker-akelikste 
Aken;Aoke 
akkerwinde;pispötje 
algemeen;algemein 
alleen;allein 
allegaartje;hómmelbóch 
allemaal;allemaol 
allemachtig;aojummig 
alpinopet;sjimmiepetje 
als;as 
alstublieft;astebleef 
altaar;altaor;altaor-altaors-altäörke 
altijd;altie~d 
alvast;alves ;alves / alvestes / festes / ves / vesjes / vestes 
alver;avel;avel-aveltje 
alvorens;alveures 
amuseren;ammezere;ammezere-ammezeerde-geammezeerd 
andersom;andersum 
anderzijds;anderdeils 
andijvie;andie~vie 
angstig;schou~w ;schou~w - schouwer-schouwste 
angst;ings ;ings / floep / begaoving 
anijs;anie~s 
anjer;flet;flet-flette-fletje 
antraciet;anterciet 
antwoord;antwaord;antwaord-antwaorde-antwäördje 
apotheek;aptie~k 
appel;appel;appel-appelle-eppelke 
appelmoes;appelemoos;appelemoos-appelemeuske 
appelstroop;kroe~t ;kroe~t - kruutje 
arbeider;werker;werker-werkluuj 
Arcen;Aarse 
arm (bnw);erm;erm-ermer-ermste / gesjochte / keps 
armoede;ermooj ;ermooj / ermood / dalles / ozel / 
armoedig;ermeujig ;ermeujig / schebbig 
armoedzaaier; erme sloeber ; erme sloeber / ermoodzeier / retekratser 
armsgat;ermsgaat;ermsgaat-ermsgater-ermsgaetje 
arm (znw);e~rm ;e~rm - erm - ermke 
asbak;assebak;assebak-assebek-assebekske 
asfalt;ter 
askruisje;assekruutske 
asperge;sperjus 
augurk (dik );bóm;bóm-bómme-bumke 
augurk;kómkómmer;kómkómmer-kómkómmers-kómkummerke 
auto;auto;auto-auto's-uiteke 
autochtoon;eigenheimer 
autoped;snelluiper 
autorijschool;autorieschoeël 
avegaar (grote boor);aever 
avond;aovend;aovend-aovende-äövendje 
azen;aoze;aoze-aosde-geaos 
azijn;aek 
baal;baalzak;baalzak-baalzek-baalzekske 
baard;baard;baard-baarde-baerdje 
Baarlo;Baolder 
babbelen;bebbele;bebbele-bebbelde-gebebbeld 
baby;babbie;babbie-babbies-babbieke 
baden;baje;baje-baajde-gebaajd / beie-beide-gebeid 
bagagedrager;draeger 
bagage;gepek 
bagatel;muggescheet 
bakker;bekker;bekker-bekkers-bekkerke 
bakkerij;bekkerie 
baksteen;briek ;briek / moorbriek / moorstein 
balein;belien;belien-beliene-belienke 
balk;balk;balk-belk-belkske 
balkenbrij;kerboet ;kerboet / balkenbriets 
ballast;ballas 
ballon;belón;belón-belónne-belunke 
balorig;balstertig 
band;band;band-bend-bendje 
bangerik;bókseschie~ter ;bókseschie~ter / schie~tbóks / schie~thoe~s / zeiker 
bang;schouw ;schouw / beschete 
bank;bank;bank-banke-benkske 
bankbiljet;breefke 
barak;boe~t ;boe~t - boe~de 
barbier;barbeer 
barmhartig;bermhertig 
barrevoets;berves 
barst;bars;bars-barste-berske 
bascule;waog;waog-waoge 
bastaardsuiker;potsókker ;potsókker / broene sókker 
batterij;batterie;batterie-batterieje-batterieke 
baviaan;baviaon;baviaon-baviaone-baviäönke 
beamen;beejstumme;beejstumme-stumde beej-beegestump 
beangstigen;beïngstige;beïngstige-beïngstigde-beïngstig 
bed;bóch;bóch-buch-buchske 
bedelaar;baedelaer;baedelaer-baedelaers 
bedelen;baedele;baedele-baedelde-gebaedeld 
bedeltje;baedelke 
bederven;bederve;bederve-bedorf-bedorve / verkuite-verkuitde-verkuit 
bediende;bedeende;bedeende-bedeendes 
bedoelen;meine;meine-meine-gemeind 
bedompt;dómpig 
bedonderen;betoepe;betoepe-betoepde-betoep 
bedorven;voel;voel-voeler-voelste / voeës-voeëzer-voeëste 
bedrag;bedraag 
bedriegen;bedrege;bedrege-bedroog-bedraoge / betoepe-betoepde-betoep 
bedrieger;nutzak ;nutzak / schalevaeger 
bedrijf;bedrie~f ;bedrie~f - bedrie~ve - bedriefke 
bedrijfsleven;bedrie~fslaeve 
bedrijven;bedrie~ve;bedrie~ve-bedreef-bedreve 
bedrijvig ( persoon );kraosbóks 
bedrinken;bezatte;bezatte-bezatde-bezat 
bedroefd;bedreuf 
bedruipen;bedrupe;bedrupe-bedroop-bedraope 
bedstee;bedstaej 
beëdigen;beëidige;beëidige-beëidigde-beëidig 
beek;baek;baek-baeke-baekske 
beemd;baand;baand-baend-baempke 
been;bei~n ;bei~n - bein-beinke 
beer;baer;baer-baere-baerke 
beer ( varken );bie~r ;bie~r - bie~re - bierke 
beestachtig;bieëstig 
beest;bieës;bieës-bieëste-bieësje 
beestenboel;bieësterie 
beetje;bietje ;bietje / frutselke 
beetnemen;beloeksefoekse;beloeksefoekse-beloeksefoeksde-beloeksefoeks 
begeven;begaeve;begaeve-begoof-begaeve 
begijn;begien ;begien - begie~ne - begienke 
beginneling;aanvenger 
beginnen;beginne;beginne-begós-begónne 
begraven;begrave;begrave-begroof-begrave 
begrijpen;begriepe;begriepe-begreep-begrepe / verknouze-verknousde-verknous 
begroten;begruuete;begruuete-begruuetde-begruuet 
begroting;begruueting 
behaard;behäörd 
behoorlijk;behuurlik 
beijzeld;beïeseld 
bejaard;bejäörd 
bejaarde man;uuem;uuem-uueme-uuemke 
bekend;bekind;bekind-bekinder-bekindste 
beker;baeker 
bekijken;bekie~ke ;bekie~ke - bekeek-bekeke / beklotse-beklotsde-beklots 
bekleden;bekleie;bekleie-bekleide-bekleid 
bekleding;bekleiing 
beknibbelen;beknispele;beknispele-beknispelde-beknispeld 
bekommeren;kummere;kummere-kummerde-gekummerd 
bekostigen;beköstige;beköstige-beköstigde-beköstig 
bekvechten;straevele;straevele-straevelde-gestraeveld / kaekele-kaekelde-gekaekeld 
bekvechter;straevelaer 
bekwaam;bekwaom ;bekwaom / faeïg / hendig 
belangrijk;wiechtig 
beledigen;beleidige;beleidige-beleidigde-beleidig / traeje-traejde-getraoje 
beleefd;belaef;belaef-belaefder-belaefste 
beleven;kerdie~ze ;kerdie~ze - kerdie~sde - gekerdies / belaeve-belaefde-belaef 
België;Bels 
bellenplant;bellenboum 
belonen;beloeëne;beloeëne-beloeënde-beloeënd 
beloop;beluip 
beloven;belaove;belaove-belaofde-belaof 
belroos;balroeës 
bemoeial;bemeujal 
bemoeien;bemeuje;bemeuje-bemeujde-bemeujd 
beneden;ónder 
bengelen;bemmele;bemmele-bemmelde-gebemmeld / biemele-biemelde-gebiemeld 
benieuwen;benieje ;benieje - benie~de - benie~d / spanne-spande-gespand 
benijden;benieje ;benieje - beniede - benied 
benul;benöl 
benutten;benotse;benotse-benotsde-benots 
benzine;benzien 
beogen;be;be-uige - be-uigde - be-uig 
bepalen;bepaole;bepaole-bepaolde-bepaold 
beraden;beraoje;beraoje-beraojde-beraojd 
bereiden;klaor make;klaor make- makde klaor-klaorgemak 
berging;schop;schop-schöp-schöpke 
bericht;bescheid 
beroemd;beroemp 
beroerte;beslaag 
berouw;inkie~r 
beschadigen;verkammezäöle;verkammezäöle-verkammezäölde-verkammezäöld 
bescheiden;bescheie 
beschermheilige;petroeën;petroeën-petroeëne-petruuenke 
beschijten;beschiete;beschiete-bescheet-beschete / befläöstere-befläösterde-befläösterd 
beschimmelen;beschummele;beschummele-beschummelde-beschummeld 
beschuit;beschuut;beschuut-beschute-beschuutje 
besje;alde doeës 
beslaan;bezwaje;bezwaje-bezwaajde-bezwaajd 
besmeuren;bedoemele;bedoemele-bedoemelde-bedoemeld 
bessen ( rode);miemere 
besteden;bestaeje;bestaeje-bestaejde-bestaejd 
bestemd;bestump 
betalen;bereme;bereme-bereemde-bereemp / berappe-berapde-berap / besolme-besolmde-besolmp /bleche-blechde-geblech 
betamen;( zich ) gehure;( zich ) gehure-gehuurde-gehuurd 
betekenen;beteikene;beteikene-beteikende-beteikend 
beter;baeter;baeter-beste 
betraand;bezump 
betreffen;aanbelange;aanbelange-belangde aan-aanbelangk 
betten;beie;beie-beide-gebeid 
betuigen;betuge;betuge-betuugde-betuug 
betweter;heggenadvekaot 
beu;täöts;täöts-täötser-täötste 
bevelen;bevaele;bevaele-bevool-bevaole 
bevriend;bevrind 
bevriezen;bevrere;bevrere-bevroor-bevraore 
bevuilen;bedriete;bedriete-bedreet-bedrete 
bewasemd;bezwaajd 
bewegen;bewaege;bewaege-bewoog-bewaoge 
bewijs;bewie~s 
bewijzen;bewie~ze ;bewie~ze - bewees-beweze 
bewonen;behoe~ze ;behoe~ze - behoe~sde - behoe~s 
bewusteloos;kasje weile ;kasje weile / verduseld 
bezem;bessem 
bezemen;kaere;kaere-kaerde-gekaerd 
bezemsteel;bessemstek 
bezet;bezatte 
bezeten;bezaete 
bezighouden;besjeftige;besjeftige-besjeftigde-besjeftig 
bezijden;beziejes 
bezoek;bezeuk ;bezeuk / aanluip 
bezuiden;bezujes 
bezwaar;bezwaor 
bezwijken;bezwieke;bezwieke-bezweek-bezweke 
bidden;baeje;baeje-baejde-gebaejd 
bidprentje;doeëdsprintje 
bieden;beje;beje-booj-gebaoje 
bier;beer 
biertje;pilske 
bieslook;piepkeslouk 
biet;kroeët;kroeët-kroeëte-kruuetje 
big;bag;bag-bagge-begske 
bij;beej 
bijbel;bie~bel 
bijdehandje;behei ;behei /kiebig / vaeg 
bijeen;beejein 
bijl;biel;biel-biele-bielke 
bijnaam voor Venlonaren;Reubezek 
bijna;bald ;bald / bekans / haos /   'n trint 
bijten;bie~te ;bie~te - beet-gebete 
bijtijds;beejtie~ds 
bijvoorbeeld;beejveurbeeld ;beejveurbeeld / beveurbeeld 
bijzonder;bezónder 
bil;bats;bats-batse-betske / kakwang-kakwange 
binden;binde;binde-bónd-gebónde 
binnenkomen;inkómme;inkómme-kwaam in-ingekómme 
binnenkort;strakkes 
binnenste buiten;krangs 
bioscoopbroekzak;bioscooptes 
blaar;blaor;blaor-blaore-bläörke 
blaas;blaos;blaos-blaoze-bläöske 
blad;blaad;blaad-blajer-blaedje 
bladluizen;mele 
blauwachtig;blauwsig 
blauwsel;pupkeblauw 
blazen;blaoze;blaoze-bloos-geblaoze 
bleek gezicht;pletskesgezich ;pletskesgezich / bleik / blas 
bleekveld;bleik 
Blerick;Blierick 
blij;blie;blie-bliejer-blieste 
blijdschap;blie~dschap 
blijken;blie~ke ;blie~ke - bleek-gebleke 
blijspel;kemedie 
blijven;blie~ve ;blie~ve - bleef-gebleve 
blik ( stoffer en .. );bleek 
blindganger;blindgenger 
blinkend;blinketig 
bloed;blood 
bloeden;bloje;bloje-bloojde-gebloojd 
bloedworst;bloodwors 
bloei;bleuj 
bloeien;bleuje;bleuje-bleujde-gebleujd 
bloem;bloom;bloom-blome-bleumke 
bloemist;blomis 
bloempot;blomepot;blomepot-blomepöt-blomepötje 
bloot;bloeët ;bloeët / neks / piemelkeneks / speernaaks 
blozend gezicht;bläöker ;bläöker / (roeëje ) pieper 
bobbel;boebel;boebel-boebels-bubelke 
bochel;poekel;poekel-poekels-pukelke 
bocht;baog;baog-bäög-bäögske / drei-dreie-dreike 
bode;baoj;baoj-baojes 
bodem;baojem;baojem-baojems-bäöjemke 
boek;book;book-beuk-bukske 
boeket;beket;beket-bekette-beketje 
boeket van veldbloemen;kroedwis 
boekvink;bookvink 
boekweit;bokesmael 
boem;flaats 
boer;boer;boer-boere-buurke 
boerderij;boerderie;boerderie-boerderieje-boerderieke 
boerenbruiloft;boerebroe~lof 
boerenkiel;keel;keel-kele-keelke 
boerenkool;boeremoos 
boerenwormkruid;reindersknuup 
boezem;kómmesveur ;kómmesveur / memmekas 
boezeroen;bazzeroel ;bazzeroel / boezeroel 
bofferd;gelökzak ;gelökzak / bófkónt 
bok;boek;boek-buuk-buukske 
bokkesprong;boekespróng 
bokking;bukkem 
boksen;boekse;boekse-boeksde-geboeks 
bokser;boekser 
bokspringen;boekspringe 
bol;bol;bol-böl-bölke 
bolderwagen;bolderker 
bolster;boeës;boeës-boeëze-buueske 
bombardon;bómbardón 
bombazijn;bómmezien 
bom;bóm;bóm-bómme-bumke 
bon;bón;bón-bónne-bunke 
bondig;bundig 
bonenkruid;boeënekruudje 
bonenschil;boeëneschaal 
bonenstaak;boeënestaak 
bonenstro;boeënestroeë 
bonje;boenje 
bonjour;bezjoer 
bonk;bónk;bónk-bunk-bungkske 
bons;boens ;boens / boets 
bontmantel;pelsjas 
bonzen;boense;boense-boensde-geboens / boetse-boetsde-geboets 
boodschap;baodschap 
boodschappentas;kallebas;kallebas-kallebes-kallebeske 
boog;baog;baog-bäög-bäögske 
boom;boum;boum-buim-buimke 
boon;boeën;boeën-boeëne-buuenke 
boor;baor;baor-baore-bäörke 
boos;kwaod;kwaod-kwaojer-kwaojste / giftig-giftiger-giftigste 
boot;boeët;boeët-buuet-buuetje 
bord;telder 
borduren;bordeure;bordeure-bordeurde-gebordeurd 
boren;baore;baore-baorde-gebaord 
borrel;dröpke 
borst;bors;bors-borste-börske 
borstel;börstel 
borstelen;börstele;börstele-börstelde-gebörsteld 
bosbes;malbaer 
bos ( bloemen );boes;boes-buus-buuske 
bos;bós;bós-bös-buske 
bot (bnw);bót;bót-bótter-bótste 
boterbloem;bótterbloom 
boter;bótter 
boterham;bóttram;bóttram-bóttramme-bóttremke / vim-vimme-vimke 
boterhamzakje;bóttrammetäötje 
botsauto;boetsauto 
botsen;boetse;boetse-boetsde-geboets 
bot (znw);knaok;knaok-knaök-knäokske 
bouillon;breuj 
bouwvallig;keduuk ;keduuk / lindelaam 
boven;baove;baove-bäöveste 
bovenwoning;baovewuuening 
braadworst;braodwors 
braambes;braomel;braomel-braomele-bräömelke 
braden;braoje;braoje-braojde-gebraoje 
brand;brand;brand-brande-brendje 
branden;börre;börre-börde-gebörd / bläöke-bläökde-gebläök 
brasem;brieësem;brieësem-brieësems-brieësemke 
breed;breid;breid-breier-breidste 
breinaaldenkoker;breischei 
breken;braeke;braeke-brook-gebraoke 
brem;brum;brum-brumme-brumke 
brengen;bringe;bringe-brach-gebrach 
bretel;help;help-helpe / galg-galge 
brief;breef;breef-breve-breefke 
brievenbus;brevebus 
brigadier;briggedeer 
brilenkoker;brilleschei 
broche;bros;bros-brosse-bröske 
broeden;breuje;breuje-breujde-gebreujd 
broek;bóks;bóks-bókse-bukske 
broekzak;tes ;tes / bóksetes 
broer;broor;broor-breurs-breurke 
brok;brok;brok-brök-brökske / bónk-bunk-bunkske 
brommen;brómme;brómme-brómde-gebrómp 
bromtol;huuldop 
bron;brón;brón-brónne-brunke / sprung-sprunge-sprungske 
brood;broeëd;broeëd-broeëjer-bruuedje / mik-migke-mikske 
broodmager;broeëdmager 
broodmes;broeëdmets 
broodplank;broeëdplank 
broodpop;migkeman;migkeman-migkemanne-migkemenke / boe~kman - boe~kmanne - boe~kmenke 
broodrooster;broeëdruuester 
broodtrommel;broeëdtrómmel 
broos;broeës 
brug;brök;brök-brögge-brökske 
bruid;broe~d ;broe~d - broe~de -bruudje 
bruidsjonker;broe~dsknech 
bruidskleed;trouwkleid 
bruidsmeisje;broe~dsmaedje 
bruidssuiker;broe~dssókker 
bruikbaar;broe~kbaar 
bruiloft;broe~lof 
bruinachtig;broensig 
bruin;broe~n ;broe~n - broener - broenste 
bruisen;broe~ze ;broe~ze - broe~sde - gebroe~s 
brullen;brölle;brölle-brölde-gebröld 
brutaal iemand;vrechlap 
brutaal;vrech 
buffetkast;glazerkas ;glazerkas / tuin 
bühne;buun;buun-bune-buunke 
bui;bie~s ;bie~s - bie~ze - bie~ske / buuj-buje-buke / schoor-schore 
buidel;buul;buul-bule-buulke 
buigen;buige;buige-boog-gebaoge 
buik;boe~k ;boe~k - buuk - buukske 
buikpijn;penspien 
buis;buus;buus-buze-buuske 
buitelen;rölse;rölse-rölsde-geröls / kuikele-kuikelde-gekuikeld / kukele-kukelde-gekukeld 
buiteling;kukelemuuske 
buiten;boe~te 
buitengewoon;boe~tegewoeën 
buitenleven;boe~telaeve 
buitenlucht;boe~telóch 
buitenstaander;boe~testaonder 
buiten westen;kuike 
bukken;boeke;boeke-boekde-geboek 
bulderen;böldere;böldere-bölderde-gebölderd 
bumper;bumpel 
buntgras;smele 
bunzing;illik;illik-illike-illikske 
burgemeester;börgemeister 
burger;börger;börger-börgerie 
buurman;naober 
buurmeisje;buurmaedje 
cadet;kedet;kedet-kedette-kedetje 
café;kefee;kefee-kefees-kefeke 
capabel;kómpabel 
carbid;kerbied 
carbonade;kermenaaj 
carnavalsvierder;vastelaovesgek 
carnaval;vastelaovend 
cement;spie~s 
cervelaatworst;druuegwors 
chatechismus;kattechiem 
chocolade;sjoklaad 
cichorei;sekrei 
cijfer;cie~fer ;cie~fer - cie~fers - cie~ferke 
claxonneren;toe~te ;toe~te - toetde - getoe~t 
clown;kloon 
cognac;kónjak;kónjak-kónjekske 
cokes;koks 
communie;kemunie 
communist;kómmenis 
compagnie;kómpenie 
compliment;kómplement 
corset;pensenterger ;pensenterger / kersjet 
crêpepapier;kreppepeer 
daaraan;dao;dao-aan 
daarbij;daobeej 
daar;dao 
daarginds;daoguns 
daarheen;daohaer 
daarnaast;daonaeve 
daarna;daonao ;daonao / naodehand 
daarom;daorum ;daorum / deswaege 
daarop;dao;dao-op 
daarvan;daovan 
daarvoor;daoveur 
daas ( insect );daes;daes-daeze-daeske 
dadelijk; dalik ; dalik / drek / strakkes / zómmedein 
dag;daa~g;daa~g-daag-daegske 
dagdeel;daagdeil 
dagloon;daagheur 
dakasfalt;pappendek 
dak;daak;daak-dake-daekske 
dakdekker;daakdekker ;daakdekker / leiendekker 
dame ( kaartspel );dam 
damestas;kallebas;kallebas-kallebasse-kallebeske 
dampig;dempig 
dandy;fattie ;fattie / sjiekaar 
dans;dans;dans-danse-denske 
dansen;pie~re ;pie~re - pie~rde - gepie~rd 
darm;de~rm ;de~rm - derm-dermke 
das;das;das-des-deske 
dat;det 
deeg;deig 
deel;deil;deil-deile-deilke 
deelnemer;deilnemer 
deftig;sjiek ;sjiek / fien 
degen;daege;daege-daeges 
deken;daeke;daeke-daekes 
delen;deile;deile-deilde-gedeild 
dempen;dempe;dempe-dempde-gedemp 
denken;dinke;dinke-dóch-gedóch 
denker;dinker 
denneappel;denneknoep;denneknoep-denneknuup 
derde;derds 
derhalve;alzoeë 
dertien;dertieën 
desnoods;desnoeëds 
dessin;desseng 
destijds;in daen tie~d ;in daen tie~d / destie~ds 
deugd;deug 
deugen;douge;douge-dougde-gedoug 
deugniet;neetnek ;neetnek / dougeniks / deugeneet / schalevaeger 
deuk;dumpel;dumpel-dumpels-dumpelke / bluts-blutse-blutske 
deurhengsel;gehing 
dialect;dialek 
diaree;schie~t ;schie~t / slingerschiet 
dichtbevolkt;diekbevolk 
dichtbij;doeënbeej ;doeënbeej - doeënderbeej - doeënstebeej/ kortbeej - korterbeej - kortstebeej 
dicht bijeen;doeën beejein 
dicht op elkaar;diek op ein 
dichtspijkeren;toenaegele 
dief;deef 
dienen;dene;dene-deende-gedeend 
dienst;deens 
dienstmeisje;maag ;maag / deensmaag 
diep;deep;deep-deper-deepste 
diepte;deepte 
dierbaar;deerbaar 
dier;bieës;bieës-bieëste-bieësjes 
dijk;die~k 
dik;diek;diek-dieker-diekste 
dikdoener;kaaljekker 
dikte;diekte 
dik worden;aanzitte;aanzitte- zoot aan- aangezatte 
dikzak;padjerol ;padjerol / vetbuul 
dille;finneke 
ding;dink;dink-dinger-dingske 
dinsdag;dinsdaag 
direct;medein 
discussiëren;klasjenere;klasjenere-klasjeneerde-geklasjeneerd 
dochter;dochter;dochter-döchter-döchterke 
dode;doeëje 
doek;dook;dook-deuk-dukske 
doen;doon;doon-deej-gedaon 
dof;doef 
dolkmes;pluut 
domheid;dómmigheid 
dominee;daominee 
dommelen;doemele;doemele-doemelde-gedoemeld 
donateur;dónneteur 
donderbeestje;hómmelbieësje 
donderbui;hómmelschoor 
donderdag;dónderdaag 
donker;duuster 
donshaar;duvelshaor 
dood;doeëd 
doodgraver;doeëjegraver 
doodsbang;doeëdsbang 
doof;douf;douf-douver-doufste 
dooi;duuej 
dooier;duuejer 
doopakte;duipbewie~s 
doop;duip 
doopkaars;duipkers 
doopsel;duipsel 
doopvont;duipvónt 
doordeweeks;werkendaags 
doorelkaar;doorein 
doorn;daoren;daoren-daores-däörentje 
doornhaag;däörehek 
doorslag;doorslaag 
doorslikken;verknouze;verknouze-verknousde-verknous 
doortrappen;doorknaeje;doorknaeje-knaejde door-doorgeknaejd 
doortrapper;doortraejer 
doos;doeës;doeës-doeëze-duueske 
dop;dop;dop-döp-döpke 
dopen;duipe;duipe-duipde-geduip 
dorp;dörp;dörp-dörpe-dörpke 
dorpel;dörpel 
dorstig;dörstig;dörstig-dörstiger-dörstigste 
dove;douve 
dozijn;dezien 
draad;draod;draod-dräöd-dräödje 
draadnagel;draodnagel;draodnagel-draodnaegel 
draagbaar;börrie 
draaibank;dreibank 
draaideur;dreideur 
draai;drei;drei-dreike 
draaien;dreie;dreie-dreide-gedreid 
draaierig;dreierig 
draaikolk;dreikolk 
draaikont;schravelbóks;schravelbóks-schravelbókse-schravelbukske / wiebelkónt-wiebelkónte-wiebelkuntje 
draaimolen;dreimeule 
draaiorgel;drei;drei-olleger 
draaischijf;dreischief 
draaitafel;dreitaofel 
draf;draf;draf-drefke 
dragen;drage;drage-droog-gedrage 
drank;drank;drank-drenske 
drempel;dörpel 
dreumes;kroe~kestop ;kroe~kestop / bóksemenke 
drevel;doorslaag 
drie;dreej 
drieërlei;drejerlei 
driehoek;dreejhook 
driehoekig;dreejkentig 
driftkikker;gifklier 
drijfnat;zie~pnaat 
drijfriem;drie~freem 
drijven;drie~ve ;drie~ve - dreef - gedreve 
drinken;buize;buize-buisde-gebuis / höffe-höfde-gehöf 
droevig;dreuvig;dreuvig-dreuviger-dreuvigste 
drogen;druuege;druuege-druuegde-gedruueg 
drol;drol;drol-drolle-drölke 
dromen;druime;druime-druimde-gedruimp 
dronkaard;buizerd ;buizerd / zatlap / zoe~pschuit / jeneverkoeët 
dronkemanspraat;zattemanspraot 
dronken;bezaope ;bezaope / blauw / buis / kuike / täöt 
droog;druueg;druueg-druueger-druuegste 
drooglijn;druuegdraod 
droogte;druuegte 
droom;droum;droum-druime-druimke 
dropwater;sókkerpaek 
druipneus;druupneus ;druupneus / zie~pneus 
druk;drök;drök-drökker-drökste 
drukken;drökke;drökke-drökde-gedrök 
drukte;gedeuns 
drukte maken;spandoe~ze ;spandoe~ze - spandoe~sde - gespandoe~s 
druktemaker;dröktesmaeker 
druppel;dröppel;dröppel-dröppels-dröppelke 
druppelen;dröppele;dröppele-dröppelde-gedröppeld / drupe-druupde-gedruu~p 
dubbel;döbbel 
dubbelganger;döbbelgenger 
dubbeltje;döbbeltje;döbbeltje-döbbeltjes 
duchtig;anstendig 
duidelijk;dudelik;dudelik-dudeliker-dudelikste 
duif;doe~f ;doe~f - doe~ve - duufke 
duim;doem;doem-duum-duumke 
duimen;doeme;doeme-doemde-gedoemp 
duimstok;doemstek 
